battery_power_mAh,clock_speed,dual_sim,front_cam_mp,5G,int_memory_gb,thickness_cm,weight_grams,n_cores,back_cam_mp,ram_mb,screen_height_cm,screen_width_cm,talk_time_hrs,condition,price
1182,1.7,no,4,1,42,0.9,189,3,20,1633,14,3,6,good,149
797,2.9,yes,4,0,38,0.5,90,4,6,590,9,2,6,fair,99
1066,0.9,no,4,0,43,0.4,101,6,11,3856,14,0,6,excellent,339
815,2,yes,4,0,51,0.3,85,6,12,3469,5,4,6,like_new,399
1652,0.6,yes,4,1,40,1,198,7,6,3592,7,6,6,excellent,339
1974,1,no,4,0,24,0.3,80,7,13,861,7,4,6,fair,35
788,2.5,yes,4,1,57,0.9,91,8,12,3969,12,8,6,like_new,498
1239,1.2,yes,5,1,52,0.9,122,2,10,417,8,0,6,parts_only,35
1939,1.3,no,5,0,58,0.3,174,2,17,2593,11,6,6,good,263
1182,1.4,yes,5,1,21,0.5,107,2,17,1765,13,5,6,fair,149
1231,1.2,yes,5,0,54,0.8,185,3,10,1762,5,3,6,fair,149
761,2.6,no,5,1,52,0.8,141,3,18,2587,11,5,6,excellent,299
1930,1.6,yes,5,1,64,0.3,119,4,17,1533,5,1,6,fair,47
840,1.2,yes,5,1,15,0.3,178,6,8,2636,12,2,6,excellent,289
800,2.2,no,5,1,41,0.1,103,6,9,2094,17,16,6,good,149
1395,0.6,no,5,0,38,0.3,167,6,16,915,5,4,6,fair,69
1225,0.7,yes,6,0,60,0.1,107,2,15,2423,17,11,6,good,259
1648,0.7,no,6,1,64,0.8,170,4,9,610,8,1,6,good,149
612,0.7,no,6,0,35,0.6,181,5,12,3169,14,9,6,good,259
1056,2.2,no,6,0,2,0.4,166,6,13,3215,16,8,6,like_new,399
940,2,yes,7,1,24,0.6,81,1,15,2971,10,0,6,excellent,279
1043,0.5,no,7,0,42,0.1,111,3,8,912,16,9,6,fair,65
825,0.5,yes,7,0,52,0.9,130,3,10,3534,10,4,6,like_new,399
672,0.5,no,7,1,35,0.1,99,8,17,1403,16,7,6,fair,35
1555,0.5,yes,8,1,2,0.9,90,2,11,3596,11,6,6,excellent,289
1479,0.5,no,8,0,19,0.6,156,3,10,3323,13,12,6,excellent,309
1512,0.5,no,8,1,18,0.1,88,3,17,3607,12,10,6,like_new,399
1904,0.5,yes,8,0,14,0.5,95,4,13,2091,8,0,6,excellent,289
1734,1.4,yes,8,0,57,0.5,188,4,15,3822,9,4,6,like_new,409
1049,0.6,yes,8,1,2,0.3,172,6,10,433,10,7,6,fair,35
1135,2.8,yes,9,0,43,0.4,158,1,11,3204,18,13,6,like_new,399
877,1.3,yes,9,1,46,0.8,135,1,14,3260,14,12,6,good,263
1821,0.9,no,9,1,12,0.3,114,1,18,2430,7,4,6,excellent,289
1068,0.7,yes,9,0,51,0.5,124,4,15,550,12,8,6,fair,75
1488,2.6,no,9,0,37,0.7,189,4,20,2524,5,0,6,excellent,279
946,1.4,no,9,0,26,0.1,186,6,10,1637,7,3,6,fair,47
783,1.7,yes,9,1,27,0.3,150,6,11,1185,15,4,6,fair,83
1425,1.2,no,9,1,35,0.7,127,8,14,590,13,2,6,fair,75
1845,0.5,yes,10,0,61,0.3,96,1,12,1731,9,5,6,fair,132
1727,2.1,yes,10,0,57,0.3,158,6,18,512,5,2,6,parts_only,49
1086,0.5,no,10,0,35,0.6,125,7,17,421,7,5,6,parts_only,32
1961,1.5,no,10,0,55,0.5,100,7,20,2355,14,7,6,like_new,409
1875,0.5,yes,11,1,55,0.7,91,1,17,2712,7,2,6,excellent,309
1183,0.5,yes,11,0,24,0.6,130,2,16,2637,16,1,6,excellent,289
675,2.8,no,11,0,44,0.1,169,5,20,2980,15,12,6,excellent,299
528,1.7,no,12,1,6,0.8,142,2,15,3256,9,8,6,excellent,299
511,0.7,no,12,1,43,0.4,120,4,15,3370,16,5,6,good,259
1793,2.7,no,12,1,44,0.7,175,5,17,2803,19,9,6,like_new,498
1478,0.8,yes,12,0,48,0.7,99,5,17,1141,5,2,6,good,132
1637,0.6,yes,12,1,57,0.5,111,8,17,3329,11,9,6,like_new,409
1448,1.4,yes,13,0,26,1,156,3,16,1175,12,9,6,fair,149
1081,2.5,yes,13,0,49,1,99,3,17,325,9,1,6,fair,55
1496,1.9,yes,13,0,38,0.1,126,4,14,1927,17,4,6,good,149
687,2,yes,13,1,56,0.8,131,7,19,569,18,1,6,fair,85
1250,1.5,no,14,1,20,0.4,167,5,18,3314,6,5,6,excellent,289
959,2.6,yes,15,0,20,1,84,4,19,3965,16,1,6,like_new,399
1545,1.3,yes,15,1,35,0.1,173,5,20,3197,14,9,6,excellent,339
1023,2.8,yes,16,0,44,0.7,176,4,17,1830,14,11,6,good,149
767,1.9,no,16,1,19,0.2,185,6,17,2445,6,1,6,good,162
894,2.1,yes,16,0,16,0.7,168,8,20,3377,5,1,6,excellent,299
1568,0.5,no,16,0,33,1,150,8,20,508,5,1,6,fair,57
750,1.3,no,0,0,33,0.8,156,1,0,1422,6,5,7,good,149
1455,1.4,no,0,0,16,0.4,164,1,1,444,14,2,7,like_new,409
1868,2,yes,0,1,42,0.2,169,1,4,3131,8,3,7,like_new,409
1967,0.5,no,0,1,46,0.6,199,1,7,1567,15,2,7,good,149
826,0.5,yes,0,1,57,0.5,135,2,0,323,17,3,7,parts_only,32
768,0.5,yes,0,0,19,0.9,159,2,1,1145,19,1,7,parts_only,35
1339,2.3,yes,0,0,40,0.1,123,2,1,2382,6,4,7,excellent,279
880,1.7,yes,0,0,33,0.7,173,2,2,1414,12,1,7,fair,83
1720,0.7,yes,0,0,19,0.1,137,2,3,1222,13,2,7,fair,132
1532,2,no,0,0,7,0.2,134,2,10,3449,5,4,7,like_new,409
536,1.4,no,0,1,53,0.7,135,3,0,1211,15,10,7,parts_only,35
1021,0.5,yes,0,1,53,0.7,136,3,6,2631,17,3,7,excellent,289
1968,0.9,no,0,0,22,0.8,115,3,7,2323,9,8,7,good,263
1577,1,yes,0,1,64,0.1,105,3,7,2967,7,3,7,like_new,409
1416,1.8,yes,0,0,20,0.1,93,4,0,3872,10,2,7,like_new,399
608,0.5,yes,0,0,64,0.9,94,4,0,2517,16,8,7,good,149
1166,1.5,yes,0,1,43,0.8,80,4,1,3993,7,1,7,like_new,409
1119,0.5,yes,0,1,23,0.4,164,4,1,3520,7,4,7,excellent,339
1071,2.6,no,0,0,49,0.3,199,4,5,3393,6,5,7,like_new,399
776,1.7,no,0,1,20,1,146,4,9,685,15,11,7,fair,83
1210,0.5,no,0,0,63,0.1,93,5,0,2394,17,9,7,good,212
1829,1.7,no,0,0,36,0.8,112,5,1,1475,11,4,7,good,149
557,0.5,no,0,1,23,0.5,197,5,1,3170,12,2,7,like_new,399
1754,1.6,no,0,0,15,0.1,166,5,1,1966,12,7,7,excellent,279
1836,1.1,yes,0,0,14,0.7,104,5,1,2469,18,6,7,excellent,289
1565,0.5,no,0,0,38,0.1,121,5,1,308,19,17,7,fair,57
917,1.3,no,0,0,53,0.2,166,5,1,603,12,6,7,parts_only,35
769,2.9,yes,0,0,9,0.1,182,5,1,3946,5,2,7,like_new,399
1442,2.2,no,0,1,56,0.7,145,5,3,1513,11,8,7,excellent,299
1570,2.8,no,0,1,18,0.4,148,5,13,3153,6,2,7,excellent,299
518,2.4,no,0,1,62,0.6,128,6,0,2514,16,12,7,good,162
1531,2,no,0,1,60,0.4,162,6,1,2524,13,11,7,excellent,279
1188,1.5,yes,0,0,54,0.3,198,6,2,485,12,7,7,fair,75
724,2.7,yes,0,0,44,0.5,187,7,0,2311,7,6,7,excellent,282
727,1.5,no,0,1,32,1,131,7,1,1891,19,13,7,good,149
1755,1.3,no,0,1,24,0.1,134,7,2,3937,8,1,7,excellent,339
1729,2.3,yes,0,0,38,0.2,136,7,8,700,8,2,7,fair,92
617,2.3,no,0,0,32,0.5,199,7,20,2213,18,13,7,fair,149
1807,0.8,yes,0,1,38,0.2,97,8,0,1069,7,6,7,fair,132
599,2.9,no,0,1,64,0.3,186,8,1,3396,5,3,7,excellent,282
742,2.3,no,0,0,21,0.7,104,8,1,331,11,8,7,fair,49
1154,1.2,yes,0,1,49,0.2,181,8,2,978,5,3,7,parts_only,35
961,1.4,yes,0,1,57,0.6,114,8,3,2782,18,9,7,excellent,289
748,1.7,no,0,1,27,0.9,150,8,4,2126,18,9,7,fair,149
708,2.7,yes,0,1,63,1,195,8,7,2169,6,5,7,good,179
1690,2.2,no,0,0,51,0.8,130,8,15,451,6,4,7,fair,49
1109,2.7,yes,1,0,39,0.4,98,1,9,1524,15,10,7,good,179
1512,0.5,no,1,0,52,0.1,131,1,14,3002,6,5,7,good,223
1564,1.5,yes,1,0,42,0.7,108,2,2,3376,7,0,7,like_new,409
511,0.7,yes,1,1,52,0.7,180,2,10,3865,8,3,7,good,263
1037,1.7,yes,1,0,5,0.7,125,3,6,3862,17,4,7,excellent,299
606,2.5,no,1,1,53,0.2,146,4,2,1223,19,12,7,fair,55
1640,2.5,yes,1,0,7,0.2,135,4,2,1361,9,1,7,good,162
1944,0.5,no,1,1,26,0.5,92,4,9,2322,19,8,7,good,212
908,2.1,no,1,0,44,0.6,95,5,2,3518,16,12,7,like_new,409
1858,0.7,yes,1,1,43,0.2,167,5,3,1886,9,3,7,good,149
1741,0.5,no,1,1,55,0.1,140,5,3,2575,13,10,7,excellent,289
980,0.5,no,1,0,8,0.1,91,5,5,625,17,3,7,fair,65
1442,0.6,yes,1,0,27,0.4,127,5,8,991,14,8,7,fair,35
981,0.5,yes,1,0,15,0.5,159,5,10,1831,17,10,7,good,149
1472,2.8,yes,1,0,36,0.5,130,6,10,985,12,11,7,good,179
1373,1.9,yes,1,1,29,0.9,141,6,12,2752,15,2,7,like_new,409
844,2.2,yes,1,1,22,0.9,197,7,2,3154,14,11,7,like_new,399
956,1.9,yes,1,0,42,0.1,133,7,11,3700,10,0,7,like_new,409
1557,1.7,yes,1,0,32,0.3,152,7,11,3048,17,11,7,excellent,279
1068,2,yes,1,1,37,0.9,184,7,13,1803,5,4,7,fair,149
583,0.9,yes,1,0,51,0.9,88,8,2,1799,16,9,7,fair,149
1672,1.7,yes,1,1,44,0.5,172,8,4,1348,11,6,7,good,162
951,2.4,no,1,1,24,0.1,147,8,20,3391,19,4,7,excellent,279
1202,0.8,no,2,0,49,0.5,131,1,8,1177,15,13,7,fair,75
1075,0.5,yes,2,0,11,0.2,122,1,16,3927,8,3,7,excellent,339
804,2.6,yes,2,0,49,0.6,105,1,18,2256,16,1,7,excellent,279
1575,2.4,yes,2,0,22,0.7,81,2,7,1091,16,8,7,good,149
1800,1.6,yes,2,0,23,0.8,187,2,8,1966,15,2,7,excellent,279
1034,2.6,yes,2,1,45,0.3,190,3,4,969,15,1,7,fair,55
707,2.1,yes,2,0,25,0.8,131,3,17,3838,9,2,7,like_new,399
637,0.8,yes,2,0,28,0.6,194,4,6,2725,15,10,7,good,263
1245,0.6,no,2,0,30,0.7,105,5,3,2676,17,8,7,good,245
895,2.5,no,2,0,23,0.5,98,5,3,2724,16,14,7,fair,149
1450,2.4,no,2,1,45,0.6,83,5,8,941,13,12,7,good,149
1414,2,yes,2,0,54,0.8,99,7,3,3799,17,7,7,like_new,399
1727,2.1,no,2,1,63,0.6,85,7,8,2457,19,13,7,like_new,399
1023,0.7,no,2,1,63,0.7,153,7,8,3155,11,10,7,like_new,409
1186,0.5,yes,2,0,21,0.4,160,8,4,2361,17,8,7,fair,132
1977,1.3,yes,2,0,31,0.4,173,8,6,2641,8,2,7,excellent,339
569,0.6,yes,2,0,39,0.1,184,8,9,2811,7,6,7,good,132
934,2,yes,2,0,30,0.7,182,8,15,703,10,8,7,fair,49
1633,1.7,yes,3,1,33,0.9,111,2,19,511,9,0,7,fair,83
518,0.8,no,3,1,17,0.5,133,3,7,2239,7,3,7,excellent,289
1137,0.8,no,3,1,7,1,122,3,18,946,13,4,7,good,132
777,2.6,no,3,0,30,0.9,148,5,17,3886,14,10,7,like_new,399
578,0.5,no,3,1,38,0.7,121,6,5,1431,5,0,7,fair,114
1777,3,no,3,0,20,0.6,188,6,5,3868,5,1,7,like_new,498
1175,2.1,no,3,0,33,0.9,124,6,8,1617,5,3,7,good,149
897,2,no,3,1,2,0.6,154,8,10,1958,7,5,7,fair,162
1660,2.8,yes,4,0,7,0.8,184,1,6,1531,12,0,7,good,149
833,2.2,no,4,0,27,0.9,124,1,6,2150,9,5,7,good,162
1692,2.1,no,4,1,2,0.9,106,1,17,3779,9,3,7,like_new,409
657,1.3,yes,4,0,28,1,118,2,19,2602,9,0,7,good,263
1880,1.8,no,4,1,18,0.7,138,3,5,3333,17,15,7,like_new,399
1378,2.5,yes,4,1,52,0.5,184,3,7,3528,5,1,7,like_new,399
1006,2.2,yes,4,1,22,0.8,135,4,8,909,18,4,7,fair,49
1496,2,yes,4,0,42,0.5,182,5,5,854,16,0,7,fair,85
957,2.5,no,4,0,7,0.8,107,5,10,1846,12,5,7,good,149
841,0.5,yes,4,1,61,0.8,191,5,12,3895,6,0,7,excellent,339
1564,2.3,no,4,1,25,0.5,189,6,17,1496,6,4,7,good,162
1827,0.8,no,4,0,61,0.9,130,7,9,2693,8,3,7,like_new,409
852,1,yes,4,1,62,0.7,104,7,13,2253,17,4,7,good,149
1010,0.7,yes,4,1,28,0.5,195,8,5,3302,14,2,7,like_new,409
1877,0.5,no,4,0,10,0.9,123,8,6,3969,6,0,7,excellent,339
1490,0.5,yes,4,1,64,0.3,150,8,8,3600,17,9,7,like_new,399
507,1.1,no,5,0,33,0.6,186,1,6,2884,18,7,7,good,263
1497,0.7,no,5,0,32,0.7,92,3,9,1329,6,1,7,excellent,289
916,1.1,yes,5,1,44,0.9,116,3,16,2367,8,5,7,good,139
529,2.5,yes,5,0,56,0.3,139,4,6,3942,10,0,7,like_new,399
625,1.2,yes,5,1,10,0.2,183,4,8,3323,9,1,7,excellent,289
1991,0.5,no,5,0,58,0.6,109,5,6,1947,10,5,7,good,132
1767,2,no,5,0,31,0.6,88,5,8,3989,13,8,7,like_new,409
1279,2.5,no,5,1,7,0.5,105,6,6,1150,7,2,7,good,149
1039,0.6,no,5,1,6,0.1,136,6,8,3212,15,7,7,good,259
1744,0.9,yes,5,1,35,0.3,137,7,9,656,17,4,7,fair,132
1855,0.5,no,5,0,32,0.6,187,8,18,3933,7,0,7,excellent,339
1969,0.8,yes,5,1,7,0.2,85,8,20,315,16,7,7,fair,75
1995,0.5,no,6,0,26,0.2,129,1,15,1322,15,11,7,good,149
1592,2.1,no,6,1,50,0.1,181,2,17,2103,19,8,7,fair,149
560,2,yes,6,1,57,0.3,81,3,12,2167,11,10,7,good,149
1191,0.8,no,6,1,46,0.8,89,6,9,824,19,18,7,fair,35
593,0.5,no,6,0,31,0.4,156,7,7,1692,6,2,7,fair,114
873,0.5,yes,6,0,8,0.6,152,7,9,575,15,8,7,parts_only,35
508,0.8,no,7,1,42,0.3,94,1,8,663,13,12,7,fair,35
1166,0.5,no,7,0,59,0.5,80,1,11,3887,8,6,7,excellent,339
1884,2.1,yes,7,1,43,0.8,185,1,18,3619,14,8,7,like_new,409
897,2.4,yes,7,1,38,0.8,110,2,9,519,6,5,7,fair,99
598,2.3,yes,7,0,21,0.7,196,2,10,3293,8,4,7,excellent,279
1671,0.6,yes,7,1,61,0.1,129,2,11,2336,10,4,7,good,245
1081,1.2,no,7,0,51,0.2,194,2,11,412,16,4,7,fair,35
986,0.7,yes,7,1,16,0.4,144,8,9,300,8,5,7,parts_only,35
668,2.9,yes,7,0,30,0.2,195,8,12,2399,10,5,7,good,189
1617,2.4,no,8,1,36,0.8,85,1,9,296,5,3,7,fair,49
1598,1,yes,8,1,49,0.5,115,2,14,1313,12,2,7,fair,149
1576,2.2,no,8,0,5,0.7,139,3,17,3904,5,1,7,like_new,453
1802,1.2,yes,8,0,27,0.5,116,5,16,1885,10,9,7,excellent,289
972,1.3,no,8,0,44,0.7,82,7,10,3925,7,6,7,like_new,409
1783,0.5,no,8,0,14,0.6,183,8,11,1816,12,7,7,good,209
600,1.8,no,9,1,6,0.8,199,2,15,3495,17,4,7,excellent,299
730,1.5,no,9,0,9,0.7,122,4,15,2787,10,8,7,excellent,279
618,1,no,9,1,13,0.1,80,4,15,1424,15,12,7,fair,75
1786,0.5,no,9,1,58,0.7,161,7,10,2764,9,3,7,like_new,399
1411,1.7,no,9,1,57,0.5,80,7,17,1228,17,3,7,fair,83
709,1.9,yes,10,0,63,0.3,150,4,14,1509,7,2,7,fair,83
1541,2.8,yes,10,1,28,0.2,165,5,15,1108,12,1,7,good,149
961,1.5,yes,10,0,51,0.3,152,6,16,2981,15,6,7,excellent,289
992,2.6,yes,10,0,52,0.3,107,7,12,332,14,9,7,fair,55
1957,0.9,yes,11,0,31,0.6,181,3,16,3801,12,0,7,excellent,339
1042,0.5,yes,11,0,13,0.1,148,3,20,1715,17,7,7,good,149
560,2.1,no,11,1,37,0.6,121,4,14,3278,15,9,7,like_new,409
1434,1.4,no,11,1,49,0.5,108,6,18,1773,15,8,7,good,149
1441,2.1,yes,11,1,3,0.1,118,8,17,2317,16,4,7,excellent,279
1519,1.5,no,12,0,43,0.1,183,1,14,853,5,0,7,fair,75
703,2.7,no,12,1,30,0.3,113,1,20,1472,14,7,7,parts_only,57
1053,2.5,yes,12,1,3,0.6,86,4,19,792,17,6,7,fair,55
1512,1.7,no,12,0,6,0.7,162,7,17,2335,15,7,7,excellent,289
1504,1.5,no,12,1,34,0.7,142,8,15,2806,7,2,7,excellent,279
1000,0.5,no,12,0,63,0.7,179,8,18,3744,11,1,7,excellent,339
560,1.3,yes,13,0,29,1,160,1,19,2832,16,1,7,good,263
899,0.5,yes,13,1,57,0.9,172,2,18,364,11,1,7,parts_only,57
886,0.9,yes,13,1,2,0.6,102,4,15,621,11,4,7,fair,75
500,1.3,yes,13,0,64,0.9,134,4,17,2807,19,7,7,excellent,339
946,1,no,13,0,56,0.7,128,6,14,2565,17,10,7,excellent,339
1754,0.5,yes,13,0,38,0.9,83,6,20,2765,6,4,7,like_new,399
1081,1.9,yes,13,1,42,0.1,101,7,17,2456,7,4,7,fair,149
1379,2.1,yes,14,1,63,1,83,1,17,651,9,6,7,fair,85
818,1.3,no,14,0,43,0.9,177,6,15,546,12,6,7,fair,75
567,2.7,yes,14,1,56,0.4,165,8,17,336,7,6,7,good,99
942,1.7,yes,14,0,28,0.8,153,8,20,3953,13,11,7,like_new,397
1380,2.6,yes,15,1,56,0.5,187,8,16,926,9,5,7,parts_only,55
587,2.5,no,16,1,51,0.6,111,1,17,2746,10,4,7,excellent,279
586,0.6,no,16,1,42,0.3,121,7,17,1869,12,2,7,good,149
1689,1.8,no,17,0,24,0.3,127,3,18,2766,7,2,7,like_new,409
1250,0.5,no,18,0,63,0.7,165,1,19,1895,13,6,7,fair,149
695,0.5,no,18,1,12,0.6,196,2,19,2855,16,13,7,excellent,289
1348,2,no,18,0,52,0.3,98,3,20,955,18,11,7,good,162
1546,0.5,yes,18,1,25,0.5,96,8,20,3893,10,0,7,like_new,409
1315,0.5,no,0,1,15,0.4,134,1,0,3928,8,4,8,excellent,339
1431,0.5,no,0,1,56,0.6,191,1,1,461,7,3,8,parts_only,32
983,1.8,no,0,1,53,0.9,187,1,4,1389,17,8,8,good,162
1144,1.5,yes,0,0,21,0.4,189,1,11,3252,16,0,8,excellent,279
1152,2.1,yes,0,1,26,0.3,82,2,0,3284,15,2,8,like_new,399
576,0.8,no,0,1,27,0.1,121,2,4,1519,18,6,8,fair,132
1583,1.2,yes,0,0,14,0.2,148,2,4,2498,13,6,8,good,263
1187,2.2,no,0,1,46,0.4,145,2,9,3917,13,11,8,like_new,399
1866,1.4,no,0,0,30,0.5,182,3,0,3834,16,11,8,excellent,339
1255,1.1,no,0,1,34,0.2,85,3,1,1749,19,17,8,good,149
688,1.5,no,0,0,2,1,89,3,2,391,5,2,8,fair,75
1442,0.5,yes,0,0,56,0.4,165,3,3,2815,6,0,8,excellent,289
1959,2.7,no,0,1,2,0.2,92,3,11,2125,14,7,8,excellent,299
580,2.1,yes,0,0,24,0.4,135,4,5,3565,12,11,8,excellent,279
1095,2.6,yes,0,1,44,0.7,103,4,5,3209,13,11,8,like_new,498
697,0.6,yes,0,1,34,0.1,114,4,6,1694,14,8,8,good,132
1253,0.7,no,0,1,34,0.9,113,4,10,3518,7,3,8,like_new,409
1944,1.8,yes,0,1,31,0.8,87,4,10,2560,7,3,8,like_new,399
548,1,yes,0,1,56,0.4,146,4,14,562,17,14,8,fair,75
1913,1.8,no,0,0,29,0.6,111,5,4,2023,17,13,8,excellent,299
1348,1.3,no,0,0,43,0.4,116,5,6,3914,10,3,8,excellent,339
668,0.5,yes,0,0,3,0.1,155,5,13,2746,9,5,8,excellent,289
959,1.3,yes,0,0,36,0.4,196,5,14,3073,19,1,8,like_new,409
1822,1.2,no,0,0,8,0.2,195,6,0,2577,9,5,8,excellent,289
603,0.7,yes,0,1,64,0.2,156,6,0,604,10,4,8,fair,75
1396,1.5,yes,0,1,44,0.1,118,6,1,1386,7,1,8,good,149
1927,2.1,no,0,0,5,0.9,139,6,1,2913,15,10,8,excellent,279
1851,2.9,no,0,0,53,0.7,112,6,2,2678,6,0,8,excellent,282
1688,2.5,no,0,1,21,0.2,170,7,0,3984,17,14,8,like_new,498
518,0.8,yes,0,0,3,0.1,178,7,1,2832,5,0,8,good,263
726,2.9,no,0,0,43,0.1,101,8,0,1446,17,2,8,fair,99
658,2.4,no,0,1,38,1,94,8,1,2585,19,2,8,like_new,399
1246,1.6,yes,0,0,52,0.6,187,8,4,552,7,3,8,fair,83
1350,0.5,yes,0,1,50,0.8,181,8,4,2287,15,1,8,fair,149
986,2.8,no,0,1,26,0.1,80,8,9,1316,7,5,8,good,149
1408,1.8,no,1,0,59,0.8,168,1,2,342,8,0,8,fair,49
1697,0.7,no,1,1,34,0.1,95,1,3,3701,15,9,8,like_new,409
534,1.9,yes,1,1,60,0.2,159,1,18,3599,10,4,8,like_new,399
1926,1.8,no,1,0,15,0.9,86,2,5,735,5,2,8,fair,83
1617,1.5,no,1,1,63,0.7,111,2,10,2754,19,10,8,excellent,289
1808,0.5,yes,1,0,31,0.5,92,2,16,2736,9,1,8,excellent,309
600,0.5,no,1,0,48,0.8,191,3,7,3393,12,7,8,good,245
802,2.4,yes,1,0,45,0.8,157,3,9,3713,8,3,8,like_new,399
1834,2.1,no,1,1,55,0.1,137,3,10,2420,15,3,8,excellent,279
1270,0.5,no,1,1,62,0.5,142,4,2,3747,18,13,8,excellent,339
1423,2.1,no,1,0,51,0.8,178,4,18,3331,8,2,8,like_new,409
1414,2.6,no,1,0,27,0.6,137,4,20,312,5,2,8,fair,55
983,1.5,no,1,0,22,0.1,170,4,20,1694,19,15,8,good,149
558,2.8,no,1,1,49,0.8,142,5,4,392,10,5,8,fair,99
1784,1.4,no,1,1,3,0.3,125,5,5,2110,10,5,8,good,149
1853,0.5,yes,1,0,27,0.3,197,6,13,1973,10,2,8,good,212
553,2.4,yes,1,1,8,0.5,121,7,3,1204,11,4,8,fair,99
987,2,yes,1,0,20,0.8,192,7,3,1454,11,3,8,fair,85
1748,0.8,no,1,0,7,0.5,189,7,4,989,12,7,8,fair,75
1914,0.7,no,1,0,35,0.6,118,8,2,643,17,1,8,good,132
1477,1.7,no,1,0,15,0.4,178,8,5,2684,18,13,8,good,162
1949,1.5,no,1,1,7,0.5,175,8,19,1406,5,1,8,fair,149
1191,2.4,yes,2,0,13,0.9,169,1,7,1028,14,6,8,good,99
1930,1.3,no,2,0,57,0.2,151,1,9,682,16,10,8,good,139
855,0.5,no,2,1,59,0.5,159,2,3,1875,16,8,8,good,149
1276,2.9,yes,2,0,53,0.3,130,2,3,3798,19,10,8,like_new,498
1490,1.1,no,2,0,10,0.6,130,2,7,2994,16,1,8,good,263
1631,0.5,no,2,1,13,0.5,166,2,16,2173,12,3,8,excellent,289
1153,0.5,no,2,1,34,0.6,133,3,3,2225,9,8,8,good,132
1152,3,no,2,0,44,1,80,3,4,986,7,5,8,fair,57
1343,2.9,no,2,1,34,0.8,171,3,6,3911,15,8,8,like_new,498
969,1.8,yes,2,1,44,0.6,158,3,7,641,9,1,8,fair,49
1371,2.8,yes,2,1,19,0.6,94,4,3,1767,6,1,8,excellent,282
1526,1.1,yes,2,1,38,0.3,116,5,6,3317,7,1,8,like_new,409
504,0.5,yes,2,1,46,0.9,172,5,14,2085,13,5,8,fair,132
1864,1.9,yes,2,0,57,0.1,181,6,6,3586,19,9,8,like_new,399
977,1.1,yes,2,0,57,0.6,181,6,7,1206,7,1,8,fair,75
1800,0.7,no,2,1,8,0.4,100,7,6,3481,10,8,8,excellent,339
1171,1.7,yes,2,0,19,0.3,167,7,19,263,6,5,8,parts_only,47
1237,0.5,no,2,0,27,0.1,87,8,5,2454,14,0,8,excellent,289
700,1.3,no,2,0,40,0.1,150,8,11,2537,15,10,8,excellent,289
1447,2.5,yes,2,0,9,0.2,155,8,16,568,12,11,8,fair,55
1625,0.5,yes,2,1,50,0.1,107,8,17,670,16,3,8,fair,35
667,2.6,yes,3,0,8,0.8,185,1,7,2528,11,8,8,excellent,299
1449,0.8,yes,3,1,10,0.2,144,1,12,1032,10,0,8,good,149
1533,2.8,no,3,0,42,0.2,87,1,13,3246,10,2,8,excellent,299
1987,0.5,no,3,1,53,1,181,3,7,3117,18,5,8,like_new,399
637,2.3,no,3,1,60,0.8,97,4,4,374,18,4,8,fair,49
1485,2.8,no,3,1,44,0.1,138,4,14,3271,14,12,8,like_new,498
1436,2.4,yes,3,1,23,0.3,106,5,4,2488,8,4,8,excellent,279
532,0.8,yes,3,0,8,0.1,193,5,10,728,13,5,8,fair,75
1973,0.5,yes,3,0,21,0.8,95,8,7,1724,12,10,8,fair,132
1043,2.7,no,3,0,29,0.2,83,8,17,1183,5,3,8,fair,57
1265,0.6,yes,4,1,49,0.5,90,1,5,1518,16,11,8,fair,132
995,2.6,yes,4,0,7,0.8,157,1,6,1272,16,6,8,good,179
1234,2.1,yes,4,1,44,0.4,107,3,17,2819,13,3,8,like_new,399
1811,2.5,no,4,1,5,0.6,98,4,16,2700,13,7,8,excellent,299
1371,0.5,no,4,0,52,0.5,167,4,19,3034,13,6,8,good,223
1940,0.9,yes,4,0,17,0.7,93,5,7,2297,14,6,8,excellent,289
1280,0.9,yes,4,1,8,0.6,96,6,5,3309,17,16,8,good,263
1149,2.2,no,4,0,30,0.2,106,6,5,3755,17,14,8,like_new,399
1170,1.2,no,4,0,30,0.4,83,8,15,1073,6,4,8,fair,75
555,3,yes,5,1,38,0.8,193,2,10,1686,8,1,8,good,149
1991,2.7,no,5,1,64,0.9,145,2,13,1733,5,3,8,excellent,299
1735,2.7,no,5,1,21,0.1,126,3,8,2597,16,12,8,excellent,282
1715,2.1,no,5,0,11,0.4,100,3,10,1018,16,5,8,fair,85
1407,1.8,yes,5,1,16,0.2,170,4,6,1068,6,0,8,good,162
965,0.8,no,5,0,24,0.7,105,4,7,1567,5,0,8,fair,132
1872,0.5,no,5,1,26,0.5,172,4,10,2273,8,4,8,good,212
1306,2.9,no,5,0,26,0.9,145,4,12,2552,17,0,8,excellent,282
1334,2.4,no,5,1,42,0.6,115,5,14,2542,10,1,8,like_new,399
1611,1.7,yes,5,0,25,0.6,92,5,18,3467,9,1,8,excellent,299
1260,0.6,no,5,1,13,1,106,6,6,2710,13,1,8,excellent,289
1637,1.7,yes,5,1,33,0.4,118,6,16,3693,7,3,8,excellent,279
1959,0.5,yes,5,0,18,0.7,191,6,20,619,7,4,8,fair,65
723,0.5,no,5,0,63,0.5,172,8,14,488,5,0,8,parts_only,35
640,1.3,yes,5,1,6,0.6,143,8,20,2711,15,7,8,excellent,289
