Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AddressChange_Claim,NumberOfCars,BasePolicy,VehiclePrice,PastNumberOfClaims,FraudFound_P
Dec,1,Friday,Pontiac,Urban,Monday,Dec,1,Female,Single,32,Policy Holder,Sedan,10067,12,400,3,6 years,31 to 35,No,No,no change,1,Collision,20257,4,0
Apr,1,Sunday,Saab,Urban,Tuesday,Apr,1,Female,Single,33,Policy Holder,Sedan,10068,11,400,3,5 years,31 to 35,No,No,no change,1,All Perils,30363,0,0
Jun,3,Monday,Pontiac,Urban,Thursday,Jun,4,Male,Single,26,Third Party,Sedan,10069,15,400,2,7 years,31 to 35,No,No,no change,1,Collision,26680,0,0
Jun,3,Saturday,Toyota,Urban,Tuesday,Jun,4,Male,Married,54,Policy Holder,Sedan,10070,12,400,2,more than 7,41 to 50,No,No,no change,1,Collision,21340,3,0
Jun,5,Thursday,Pontiac,Urban,Tuesday,Jul,1,Male,Married,70,Policy Holder,Sport,10071,14,400,3,more than 7,over 65,No,No,no change,1,Liability,21837,0,0
Jun,3,Tuesday,Pontiac,Urban,Tuesday,Jun,3,Female,Single,40,Third Party,Sport,10072,7,400,3,more than 7,36 to 40,No,No,no change,1,Liability,28596,2,0
May,3,Wednesday,Mazda,Urban,Tuesday,May,4,Female,Married,28,Policy Holder,Sport,10073,1,400,2,6 years,31 to 35,No,No,no change,1,Liability,23363,3,0
Oct,1,Thursday,Pontiac,Urban,Tuesday,Oct,2,Male,Single,30,Policy Holder,Sport,10074,12,400,3,6 years,31 to 35,No,No,no change,1,Liability,24447,3,0
Dec,3,Saturday,Ford,Urban,Tuesday,Dec,3,Male,Married,34,Policy Holder,Sport,10075,11,400,4,7 years,31 to 35,No,No,no change,1,Liability,38782,7,0
Jan,4,Monday,Mazda,Urban,Tuesday,Jan,4,Male,Married,36,Third Party,Sedan,10076,9,700,1,7 years,36 to 40,No,No,no change,1,Collision,25765,2,0
Sep,4,Tuesday,VW,Urban,Thursday,Sep,5,Male,Married,29,Policy Holder,Sport,10077,3,400,2,7 years,31 to 35,No,No,no change,1,Liability,85685,0,0
Sep,5,Thursday,Chevrolet,Urban,Friday,Sep,5,Male,Single,44,Policy Holder,Sport,10078,2,400,3,7 years,36 to 40,Yes,No,no change,1,Liability,33415,0,0
Sep,5,Saturday,Toyota,Urban,Monday,Oct,1,Male,Married,32,Policy Holder,Sport,10079,13,400,1,7 years,31 to 35,No,No,no change,1,Liability,24143,0,0
Oct,1,Tuesday,Toyota,Urban,Thursday,Oct,1,Male,Married,30,Policy Holder,Sedan,10080,7,400,1,6 years,31 to 35,No,No,no change,1,All Perils,16742,1,0
Oct,1,Tuesday,Pontiac,Urban,Wednesday,Oct,1,Male,Married,74,Policy Holder,Sedan,10081,13,400,3,7 years,over 65,No,No,4 to 8 years,2,Collision,23280,0,0
Oct,2,Wednesday,Ford,Urban,Friday,Oct,2,Female,Single,33,Policy Holder,Sport,10082,4,400,2,7 years,31 to 35,No,No,no change,1,Liability,FALSE,4,0
Oct,2,Wednesday,Toyota,Urban,Wednesday,Oct,4,Male,Married,34,Third Party,Sport,10083,4,400,4,7 years,31 to 35,No,No,no change,1,Liability,28326,0,0
Oct,2,Wednesday,Mazda,Urban,Friday,Oct,3,Male,Married,35,Policy Holder,Sport,10084,16,400,4,6 years,31 to 35,No,No,no change,1,Liability,21139,4,0
Feb,2,Monday,Pontiac,Urban,Friday,Feb,3,Female,Single,51,Third Party,Sedan,10085,2,400,3,more than 7,41 to 50,No,No,no change,1,All Perils,6818,0,0
Oct,2,Monday,Mazda,Urban,Friday,Oct,2,Male,Married,38,Policy Holder,Sport,10086,5,400,1,7 years,36 to 40,No,No,no change,1,Liability,36819,0,0
Oct,2,Saturday,Chevrolet,Urban,Wednesday,Oct,2,Male,Married,43,Policy Holder,Sedan,10087,8,400,2,7 years,36 to 40,No,No,no change,3,Collision,34869,2,0
Feb,2,Monday,Honda,Urban,Friday,Mar,2,Male,Single,35,Policy Holder,Sedan,10088,3,400,4,5 years,31 to 35,No,No,no change,1,Collision,26403,4,1
Feb,2,Monday,Mazda,Urban,Wednesday,Mar,1,Male,Married,64,Policy Holder,Sedan,10089,11,400,2,6 years,51 to 65,No,No,no change,1,Collision,30580,8,1
May,4,Friday,Pontiac,Urban,Thursday,Jun,3,Female,Married,38,Policy Holder,Sport,10090,14,400,1,7 years,36 to 40,No,No,no change,1,Liability,22653,2,0
Jan,4,Tuesday,Toyota,Urban,Wednesday,Feb,1,Male,Married,35,Policy Holder,Sedan,10091,15,400,4,7 years,31 to 35,No,No,no change,1,Collision,30273,4,0
Jan,4,Tuesday,Honda,Urban,Thursday,Jan,4,Female,Divorced,31,Policy Holder,Sedan,10092,7,400,2,5 years,31 to 35,Yes,No,no change,1,Collision,23690,4,0
Dec,3,Sunday,Pontiac,Urban,Wednesday,Dec,4,Female,Married,62,Policy Holder,Sport,10093,7,400,2,7 years,51 to 65,No,No,no change,1,Liability,24446,0,0
Nov,3,Tuesday,Mazda,Urban,Thursday,Nov,3,Male,Married,72,Policy Holder,Sport,10094,5,400,1,more than 7,over 65,No,No,no change,1,Liability,27072,0,0
Nov,3,Tuesday,Chevrolet,Urban,Wednesday,Jan,4,Male,Married,53,Policy Holder,Sport,10095,16,400,2,7 years,41 to 50,No,No,no change,1,Liability,38719,10,0
Oct,1,Thursday,Pontiac,Urban,Thursday,Oct,1,Male,Married,39,Policy Holder,Sport,10096,3,400,2,7 years,36 to 40,No,No,no change,1,Liability,26915,7,0
Aug,1,Friday,Mazda,Rural,Thursday,Aug,2,Male,Married,56,Policy Holder,Sedan,10097,10,400,4,more than 7,51 to 65,No,No,no change,1,All Perils,29495,0,0
May,3,Thursday,Toyota,Urban,Thursday,May,3,Male,Married,27,Policy Holder,Sedan,10098,15,400,4,7 years,31 to 35,No,No,no change,1,Collision,27416,1,0
Jan,5,Saturday,Pontiac,Urban,Friday,Feb,1,Male,Single,39,Policy Holder,Sport,10099,4,500,4,6 years,36 to 40,Yes,No,no change,1,Liability,29476,2,0
Jan,5,Monday,Honda,Urban,Thursday,Feb,1,Male,Married,26,Policy Holder,Sport,10100,12,400,1,6 years,31 to 35,No,No,no change,1,Liability,21884,7,0
Feb,3,Tuesday,Mazda,Rural,Tuesday,Feb,4,Male,Married,35,Policy Holder,Sedan,10101,6,400,2,6 years,31 to 35,No,No,no change,1,Collision,23606,0,1
Jan,3,Tuesday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,29,Third Party,Sedan,10102,1,400,2,6 years,31 to 35,Yes,No,1 year,2,Collision,35333,0,0
Jan,3,Thursday,Toyota,Urban,Tuesday,Jan,4,Male,Married,39,Policy Holder,Sport,10103,11,400,3,7 years,36 to 40,No,No,no change,1,Liability,29453,4,0
Jul,4,Monday,Chevrolet,Urban,Wednesday,Jul,4,Male,Married,39,Policy Holder,Sport,10104,7,400,1,7 years,36 to 40,No,No,no change,1,Liability,98699,3,0
Aug,1,Tuesday,Mazda,Urban,Thursday,Aug,1,Male,Married,41,Policy Holder,Sedan,10105,5,400,3,7 years,36 to 40,No,No,no change,1,Collision,25596,1,0
Aug,4,Tuesday,Honda,Urban,Thursday,Aug,4,Male,Married,32,Policy Holder,Sedan,10106,14,400,1,6 years,31 to 35,No,No,no change,1,Collision,20727,0,0
Jun,4,Tuesday,Pontiac,Urban,Tuesday,Jun,4,Male,Single,35,Policy Holder,Sport,10107,7,700,1,7 years,31 to 35,No,No,no change,1,Liability,31872,1,0
Feb,3,Tuesday,Saturn,Urban,Monday,Feb,4,Male,Married,57,Third Party,Sedan,10108,9,400,2,more than 7,51 to 65,No,No,no change,1,All Perils,22302,0,0
Oct,4,Monday,Honda,Urban,Monday,Dec,1,Male,Married,37,Policy Holder,Sport,10109,7,400,1,3 years,36 to 40,No,No,no change,1,Collision,73060,4,0
Nov,2,Thursday,Toyota,Urban,Friday,Nov,3,Female,Married,54,Third Party,Sedan,10110,2,400,1,more than 7,41 to 50,No,No,no change,1,Collision,22616,3,0
Nov,1,Saturday,Toyota,Urban,Thursday,Nov,3,Male,Married,42,Policy Holder,Sedan,10111,11,400,1,7 years,36 to 40,No,No,no change,1,Collision,28432,0,0
Jan,4,Friday,Toyota,Urban,Wednesday,Feb,1,Male,Married,33,Third Party,Sedan,10112,9,400,4,7 years,31 to 35,No,No,no change,1,All Perils,28843,3,0
Jan,4,Thursday,Pontiac,Urban,Thursday,Feb,1,Male,Single,51,Policy Holder,Utility,10113,5,400,4,7 years,41 to 50,No,No,no change,1,All Perils,79450,9,0
Jan,3,Monday,Nisson,Urban,Wednesday,Jan,4,Male,Married,56,Policy Holder,Sedan,10114,6,400,1,more than 7,51 to 65,No,No,no change,1,Collision,FALSE,0,0
Jul,1,Tuesday,Toyota,Urban,Wednesday,Jul,1,Male,Married,58,Policy Holder,Sport,10115,5,400,4,7 years,51 to 65,No,No,no change,1,Liability,27800,3,0
Oct,4,Monday,Pontiac,Urban,Monday,Oct,4,Male,Single,31,Policy Holder,Sport,10116,10,400,4,5 years,31 to 35,No,No,no change,1,Liability,21343,4,0
Feb,3,Tuesday,Honda,Urban,Thursday,Feb,3,Male,Single,0,Policy Holder,Utility,10117,11,400,1,new,16 to 17,No,No,no change,1,All Perils,76844,0,1
Feb,2,Wednesday,Pontiac,Urban,Monday,Feb,5,Male,Single,27,Third Party,Sport,10118,15,400,1,6 years,31 to 35,No,No,no change,1,Liability,36354,1,0
May,2,Friday,Toyota,Urban,Tuesday,Oct,4,Male,Married,42,Policy Holder,Sedan,10119,13,400,2,7 years,36 to 40,Yes,No,no change,1,All Perils,24619,0,0
May,2,Wednesday,Honda,Urban,Thursday,May,2,Male,Married,49,Policy Holder,Sport,10120,8,400,3,more than 7,41 to 50,No,No,no change,1,Liability,24437,3,0
Jul,1,Saturday,Pontiac,Urban,Wednesday,Jul,2,Male,Single,38,Policy Holder,Sport,10121,16,400,2,more than 7,36 to 40,No,No,no change,1,Liability,30729,8,0
Aug,5,Tuesday,Toyota,Urban,Friday,Sep,1,Male,Married,55,Policy Holder,Sedan,10122,8,400,1,7 years,41 to 50,No,No,no change,1,Collision,23322,2,0
Dec,4,Tuesday,Toyota,Urban,Wednesday,Feb,1,Female,Married,45,Third Party,Sedan,10123,4,400,4,4 years,36 to 40,No,No,4 to 8 years,2,All Perils,5115,0,0
May,1,Friday,Pontiac,Urban,Friday,Jun,1,Male,Married,43,Policy Holder,Sport,10124,8,400,1,7 years,36 to 40,No,No,no change,1,Liability,26425,7,0
Feb,3,Wednesday,Pontiac,Urban,Thursday,Feb,3,Male,Single,36,Policy Holder,Utility,10125,13,400,2,7 years,36 to 40,No,No,no change,1,All Perils,FALSE,10,1
Sep,2,Monday,Toyota,Urban,Friday,Sep,3,Male,Married,35,Third Party,Sedan,10126,4,400,2,7 years,31 to 35,No,No,no change,1,Collision,22778,3,0
Oct,4,Thursday,Toyota,Urban,Friday,Oct,4,Male,Married,29,Policy Holder,Sport,10127,14,400,2,7 years,31 to 35,No,No,no change,1,Liability,29754,5,0
Oct,2,Friday,Pontiac,Urban,Friday,Oct,2,Male,Married,52,Policy Holder,Sedan,10128,6,400,1,more than 7,41 to 50,No,No,no change,3,Collision,29562,4,0
Oct,3,Saturday,Mazda,Urban,Tuesday,Oct,3,Male,Married,53,Policy Holder,Sedan,10129,5,400,3,more than 7,41 to 50,No,No,no change,1,Collision,21546,0,0
Dec,2,Monday,Honda,Rural,Tuesday,Dec,4,Male,Married,42,Policy Holder,Sedan,10130,1,400,4,more than 7,36 to 40,No,No,no change,1,All Perils,27171,1,0
Apr,3,Tuesday,Pontiac,Urban,Wednesday,Apr,3,Male,Married,45,Policy Holder,Sedan,10131,16,400,4,7 years,36 to 40,No,No,no change,1,All Perils,26700,4,0
May,3,Monday,Chevrolet,Urban,Wednesday,May,3,Female,Single,33,Policy Holder,Sport,10132,3,400,1,6 years,31 to 35,No,No,no change,1,Liability,28441,3,0
May,3,Monday,VW,Urban,Tuesday,May,3,Male,Married,59,Policy Holder,Sedan,10133,3,400,1,more than 7,51 to 65,No,No,no change,1,Collision,38253,1,0
Sep,1,Saturday,Pontiac,Urban,Tuesday,Sep,3,Male,Married,41,Policy Holder,Sedan,10134,10,400,1,7 years,36 to 40,Yes,No,no change,1,Collision,29784,4,0
Sep,3,Monday,VW,Urban,Monday,Nov,3,Male,Single,38,Policy Holder,Sedan,10135,9,400,1,7 years,36 to 40,No,No,no change,1,Collision,94733,1,0
Nov,2,Tuesday,Honda,Urban,Monday,Nov,3,Male,Single,60,Policy Holder,Sport,10136,3,400,3,7 years,51 to 65,No,No,no change,1,Liability,23795,4,0
Dec,2,Saturday,Pontiac,Urban,Friday,Dec,4,Female,Married,28,Policy Holder,Sedan,10137,7,400,4,6 years,31 to 35,No,No,no change,1,Collision,25383,3,0
Jan,3,Saturday,Pontiac,Urban,Thursday,Feb,1,Male,Married,35,Third Party,Sedan,10138,7,700,3,7 years,31 to 35,No,No,no change,1,Collision,21218,1,0
May,5,Wednesday,Chevrolet,Urban,Thursday,Jun,2,Female,Married,33,Third Party,Sedan,10139,12,400,3,6 years,31 to 35,No,No,no change,1,All Perils,23513,1,0
Jun,1,Monday,Toyota,Urban,Wednesday,Jun,2,Male,Married,57,Third Party,Sedan,10140,14,400,2,more than 7,51 to 65,No,No,no change,1,All Perils,25132,1,0
Jun,1,Saturday,Honda,Urban,Tuesday,Jun,1,Male,Married,33,Third Party,Sedan,10141,10,400,1,6 years,31 to 35,No,No,no change,1,Collision,20595,0,0
Jun,1,Sunday,Honda,Urban,Tuesday,Jun,1,Male,Married,38,Policy Holder,Sedan,10142,1,400,2,more than 7,36 to 40,No,No,no change,1,Collision,23445,0,0
Sep,3,Friday,Chevrolet,Rural,Friday,Sep,3,Male,Married,46,Policy Holder,Sport,10143,11,400,4,more than 7,41 to 50,No,No,no change,1,Liability,24334,1,0
Sep,2,Friday,Pontiac,Urban,Wednesday,Sep,3,Male,Married,52,Policy Holder,Sedan,10144,16,400,3,more than 7,41 to 50,No,No,4 to 8 years,2,All Perils,25029,8,0
Aug,2,Wednesday,Pontiac,Urban,Friday,Nov,2,Female,Single,29,Policy Holder,Sedan,10145,11,400,4,6 years,31 to 35,No,No,no change,1,Collision,23220,0,0
Jul,4,Tuesday,Pontiac,Urban,Thursday,Jan,4,Female,Married,42,Policy Holder,Sedan,10146,3,400,3,7 years,36 to 40,No,No,no change,1,All Perils,24287,2,0
Jun,2,Saturday,Toyota,Urban,Monday,Jun,2,Male,Married,46,Third Party,Sedan,10147,12,400,3,more than 7,41 to 50,No,No,no change,1,All Perils,69854,2,0
Feb,3,Saturday,Accura,Urban,Monday,Feb,4,Male,Married,38,Third Party,Sedan,10148,15,400,4,more than 7,36 to 40,No,No,no change,1,All Perils,33396,4,0
Feb,3,Thursday,Honda,Urban,Wednesday,Feb,4,Male,Single,22,Third Party,Sedan,10149,12,400,3,5 years,26 to 30,No,No,no change,1,Collision,25611,2,0
Feb,3,Thursday,Pontiac,Urban,Monday,Feb,3,Male,Married,69,Policy Holder,Sedan,10150,13,500,1,7 years,over 65,No,No,2 to 3 years,1,All Perils,27290,4,1
Jun,3,Tuesday,Pontiac,Rural,Thursday,Jun,4,Male,Single,22,Policy Holder,Sport,10151,1,400,2,5 years,26 to 30,No,No,no change,1,Liability,21008,5,0
Jun,1,Wednesday,Honda,Urban,Thursday,Jun,1,Male,Married,34,Policy Holder,Sport,10152,12,400,2,6 years,31 to 35,No,No,no change,1,Liability,38238,0,0
May,5,Tuesday,Ford,Urban,Wednesday,Jun,2,Male,Married,74,Policy Holder,Sedan,10153,10,400,2,more than 7,over 65,No,No,no change,1,All Perils,FALSE,0,0
Feb,3,Thursday,Pontiac,Urban,Monday,Feb,3,Male,Married,49,Policy Holder,Sedan,10154,11,400,1,more than 7,41 to 50,No,No,no change,8,All Perils,26303,2,1
Apr,5,Saturday,Chevrolet,Urban,Wednesday,May,1,Male,Married,61,Third Party,Sedan,10155,15,400,2,more than 7,51 to 65,No,No,no change,1,Collision,25080,3,0
Feb,3,Thursday,Pontiac,Urban,Monday,Feb,4,Male,Single,41,Policy Holder,Sedan,10156,14,400,3,7 years,36 to 40,No,No,no change,1,All Perils,93543,0,1
Feb,3,Thursday,Honda,Urban,Friday,Feb,3,Male,Married,35,Policy Holder,Sport,10157,5,400,4,6 years,31 to 35,No,No,no change,1,Collision,70799,0,1
Sep,4,Saturday,Chevrolet,Urban,Tuesday,Nov,2,Male,Single,32,Policy Holder,Sedan,10158,8,400,1,6 years,31 to 35,No,No,no change,1,Collision,34412,3,0
Sep,2,Saturday,Chevrolet,Urban,Friday,Oct,2,Male,Married,37,Policy Holder,Sedan,10159,6,400,3,7 years,36 to 40,No,No,no change,1,All Perils,23449,0,0
Jul,5,Friday,Mazda,Urban,Thursday,Sep,2,Male,Single,33,Policy Holder,Sport,10160,8,400,4,5 years,31 to 35,No,No,no change,1,Liability,20753,1,0
Jul,3,Wednesday,Honda,Urban,Wednesday,Aug,1,Female,Single,35,Policy Holder,Sport,10161,2,400,4,6 years,31 to 35,No,No,no change,1,Liability,39164,7,0
Apr,3,Thursday,Mazda,Urban,Wednesday,May,4,Male,Single,21,Policy Holder,Sedan,10162,12,400,3,3 years,26 to 30,No,No,no change,1,Collision,24708,3,0
Mar,3,Thursday,Pontiac,Urban,Wednesday,Mar,4,Male,Single,27,Third Party,Sedan,10163,15,400,2,5 years,31 to 35,No,No,no change,1,All Perils,9087,2,0
Dec,4,Wednesday,Toyota,Urban,Monday,Jan,1,Male,Married,39,Third Party,Sedan,10164,3,400,3,7 years,36 to 40,No,No,no change,1,All Perils,28423,2,0
Jun,2,Monday,Honda,Urban,Thursday,Jun,3,Male,Married,45,Third Party,Sedan,10165,1,400,4,7 years,36 to 40,No,No,4 to 8 years,2,Collision,37478,0,0
Aug,1,Saturday,Pontiac,Urban,Thursday,Aug,2,Male,Single,23,Policy Holder,Sedan,10166,15,400,1,5 years,26 to 30,No,No,no change,1,Collision,36770,1,0
Nov,2,Tuesday,Chevrolet,Urban,Wednesday,Nov,2,Male,Married,34,Policy Holder,Sedan,10167,4,400,3,7 years,31 to 35,No,No,no change,1,Collision,30496,8,0
Oct,3,Thursday,Pontiac,Urban,Wednesday,Oct,4,Male,Married,28,Policy Holder,Sedan,10168,16,400,1,6 years,31 to 35,No,No,no change,1,Collision,28760,1,0
Oct,3,Friday,Pontiac,Urban,Monday,Oct,4,Male,Married,43,Policy Holder,Sedan,10169,15,400,4,5 years,36 to 40,No,No,no change,4,All Perils,29677,2,0
Feb,3,Friday,Saturn,Urban,Thursday,Feb,4,Male,Married,46,Third Party,Sedan,10170,9,400,3,7 years,41 to 50,No,No,no change,1,Collision,33374,1,0
Sep,1,Monday,Toyota,Urban,Wednesday,Sep,1,Female,Married,35,Policy Holder,Sedan,10171,14,400,4,7 years,31 to 35,No,No,no change,1,All Perils,28422,0,0
Jun,2,Saturday,Pontiac,Urban,Thursday,Jun,4,Male,Married,33,Policy Holder,Sedan,10172,14,400,2,7 years,31 to 35,No,No,no change,1,Collision,20458,0,0
Feb,3,Friday,Toyota,Urban,Wednesday,Feb,4,Male,Single,29,Third Party,Sedan,10173,1,400,1,6 years,31 to 35,No,No,no change,1,Collision,29389,10,0
Feb,1,Friday,Toyota,Urban,Tuesday,Feb,2,Male,Married,49,Third Party,Sport,10174,7,400,4,more than 7,41 to 50,No,No,no change,1,Liability,34070,4,0
Feb,1,Friday,Pontiac,Urban,Friday,Feb,2,Male,Married,49,Third Party,Sedan,10175,13,400,2,6 years,41 to 50,No,No,no change,1,All Perils,33483,0,0
Jan,5,Monday,Toyota,Urban,Friday,Feb,1,Male,Single,30,Policy Holder,Sedan,10176,8,400,2,6 years,31 to 35,No,No,no change,1,All Perils,27850,4,0
Jan,5,Saturday,Pontiac,Urban,Wednesday,Feb,1,Male,Single,33,Policy Holder,Sedan,10177,4,400,1,7 years,31 to 35,No,No,no change,1,All Perils,25675,0,0
Jan,2,Wednesday,Toyota,Urban,Wednesday,Jan,2,Male,Married,32,Third Party,Sedan,10178,9,400,1,6 years,31 to 35,No,No,no change,1,Collision,22770,1,0
Jan,2,Wednesday,Toyota,Urban,Thursday,Jan,2,Male,Married,64,Policy Holder,Sedan,10179,8,400,1,more than 7,51 to 65,No,No,no change,1,Collision,29812,3,0
Feb,3,Friday,Mazda,Urban,Friday,Feb,3,Male,Married,30,Third Party,Sedan,10180,6,400,4,6 years,31 to 35,No,No,no change,1,Collision,74905,1,0
Jul,3,Monday,Pontiac,Rural,Wednesday,Jul,3,Male,Married,56,Policy Holder,Sedan,10181,15,400,1,7 years,51 to 65,No,No,no change,1,All Perils,17075,0,0
Dec,5,Thursday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Utility,10182,3,400,3,new,16 to 17,No,No,no change,1,All Perils,98202,1,0
Dec,5,Friday,Pontiac,Urban,Wednesday,Jan,2,Male,Married,28,Policy Holder,Sedan,10183,13,400,3,5 years,31 to 35,No,No,no change,1,Collision,20936,0,0
Feb,3,Saturday,Accura,Urban,Thursday,Feb,4,Male,Married,61,Policy Holder,Sedan,10184,8,400,4,more than 7,51 to 65,No,No,no change,1,All Perils,30245,7,1
Dec,5,Friday,Toyota,Urban,Monday,Jan,1,Male,Married,51,Policy Holder,Sedan,10185,9,400,3,6 years,41 to 50,No,No,no change,1,All Perils,22082,0,0
Dec,5,Friday,Chevrolet,Rural,Wednesday,Jan,2,Male,Married,30,Third Party,Sport,10186,14,400,3,7 years,31 to 35,No,No,4 to 8 years,2,Liability,FALSE,3,0
Jan,1,Monday,Pontiac,Urban,Wednesday,Jan,2,Male,Married,45,Third Party,Sedan,10187,13,400,1,6 years,36 to 40,No,No,no change,1,All Perils,28911,0,0
Dec,3,Monday,Mazda,Urban,Tuesday,Feb,1,Female,Single,30,Policy Holder,Sport,10188,7,400,2,6 years,31 to 35,No,No,no change,1,Liability,29121,7,0
Dec,4,Monday,Pontiac,Urban,Tuesday,Jan,1,Male,Single,23,Third Party,Sedan,10189,9,400,2,5 years,26 to 30,No,No,no change,1,All Perils,7303,6,0
Dec,4,Sunday,Pontiac,Urban,Monday,Jan,1,Male,Married,65,Third Party,Sedan,10190,4,400,2,more than 7,51 to 65,No,No,no change,1,Collision,28544,0,0
Mar,2,Tuesday,Pontiac,Urban,Monday,Mar,4,Male,Married,43,Policy Holder,Sedan,10191,11,400,1,7 years,36 to 40,No,No,no change,1,All Perils,21283,0,0
Apr,1,Sunday,Mazda,Rural,Tuesday,Apr,1,Male,Married,28,Third Party,Sedan,10192,3,400,4,7 years,31 to 35,No,No,no change,1,Collision,25683,0,0
Apr,1,Sunday,Chevrolet,Urban,Thursday,Apr,2,Male,Married,61,Policy Holder,Sport,10193,2,400,2,more than 7,51 to 65,No,No,1 year,1,Liability,38200,4,0
Apr,1,Monday,Honda,Urban,Thursday,Apr,2,Male,Married,42,Policy Holder,Sedan,10194,12,400,3,more than 7,36 to 40,No,No,no change,1,All Perils,36887,3,0
Mar,4,Monday,Honda,Urban,Monday,Mar,4,Male,Married,31,Third Party,Sedan,10195,15,400,2,new,31 to 35,No,No,no change,1,All Perils,80507,0,0
Apr,2,Monday,Mazda,Rural,Wednesday,Apr,2,Male,Married,57,Policy Holder,Sedan,10196,8,400,4,more than 7,51 to 65,No,No,no change,1,All Perils,37770,2,0
Apr,2,Friday,Mazda,Urban,Monday,Apr,2,Male,Married,52,Third Party,Sedan,10197,7,400,3,more than 7,41 to 50,No,No,no change,1,All Perils,33796,1,0
Apr,4,Sunday,Chevrolet,Urban,Monday,Apr,4,Male,Married,56,Policy Holder,Sport,10198,3,400,3,7 years,51 to 65,No,No,no change,1,Liability,23433,0,0
Apr,4,Friday,Pontiac,Rural,Wednesday,Apr,4,Male,Married,32,Policy Holder,Sedan,10199,14,400,1,7 years,31 to 35,No,No,no change,1,All Perils,28265,0,0
Jun,3,Friday,Mazda,Urban,Tuesday,Jun,4,Female,Single,35,Policy Holder,Sedan,10200,12,400,4,5 years,31 to 35,No,No,no change,1,Collision,21846,0,0
Jun,3,Thursday,Toyota,Urban,Thursday,Jun,3,Female,Married,53,Policy Holder,Sport,10201,6,500,4,6 years,41 to 50,No,No,2 to 3 years,1,Liability,27794,10,0
Jun,2,Saturday,Toyota,Urban,Monday,Jun,2,Female,Single,25,Third Party,Sedan,10202,12,400,2,5 years,26 to 30,No,No,no change,1,Collision,18186,0,0
Jan,4,Thursday,Chevrolet,Urban,Monday,Jan,5,Male,Married,29,Third Party,Utility,10203,5,400,4,7 years,31 to 35,No,No,no change,1,All Perils,73891,6,0
Jan,3,Monday,Toyota,Rural,Tuesday,Jan,3,Male,Married,78,Policy Holder,Sedan,10204,9,400,3,more than 7,over 65,No,No,no change,1,All Perils,9521,1,0
Apr,2,Thursday,Chevrolet,Urban,Monday,Apr,3,Male,Single,37,Policy Holder,Sedan,10205,1,400,1,7 years,36 to 40,No,No,no change,1,Collision,22458,4,0
May,2,Thursday,Honda,Urban,Friday,May,2,Male,Married,30,Policy Holder,Sport,10206,6,400,4,7 years,31 to 35,No,No,no change,1,Collision,83572,0,0
May,1,Wednesday,Honda,Urban,Wednesday,May,1,Male,Married,44,Policy Holder,Sport,10207,4,400,4,7 years,36 to 40,No,No,4 to 8 years,2,Liability,33026,3,0
May,1,Tuesday,Mazda,Rural,Friday,May,1,Male,Married,49,Policy Holder,Sedan,10208,5,400,4,7 years,41 to 50,No,No,no change,1,Collision,20432,3,0
Apr,2,Thursday,Mazda,Urban,Friday,Apr,4,Female,Single,28,Third Party,Sedan,10209,16,400,4,5 years,31 to 35,No,No,no change,1,Collision,27367,10,0
Apr,1,Tuesday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,34,Policy Holder,Sedan,10210,1,400,3,7 years,31 to 35,No,No,no change,3,All Perils,38842,3,0
May,5,Monday,Pontiac,Urban,Monday,Jun,2,Female,Single,23,Policy Holder,Sedan,10211,13,400,2,3 years,26 to 30,No,No,no change,1,Collision,20069,0,0
May,4,Tuesday,Chevrolet,Rural,Tuesday,May,5,Male,Married,33,Policy Holder,Sport,10212,4,400,4,6 years,31 to 35,No,No,no change,1,Liability,20282,0,0
Jul,2,Friday,Mazda,Urban,Friday,Jul,2,Male,Married,42,Policy Holder,Sport,10213,13,400,1,7 years,36 to 40,No,No,no change,1,Liability,30180,6,0
Jul,1,Monday,Pontiac,Urban,Monday,Jul,1,Male,Single,24,Third Party,Sedan,10214,9,400,4,5 years,26 to 30,No,No,no change,1,All Perils,25105,0,0
Nov,2,Saturday,Pontiac,Urban,Wednesday,Nov,5,Male,Single,27,Policy Holder,Sedan,10215,9,400,3,5 years,31 to 35,No,No,no change,1,All Perils,19110,3,0
Oct,5,Sunday,Pontiac,Urban,Monday,Nov,2,Male,Single,20,Policy Holder,Sedan,10216,7,400,1,3 years,21 to 25,No,No,no change,1,All Perils,25583,3,0
Dec,2,Thursday,Ford,Rural,Friday,Dec,2,Male,Married,67,Policy Holder,Sedan,10217,7,400,4,more than 7,over 65,No,No,no change,1,Collision,62039,2,0
Dec,1,Monday,Toyota,Urban,Wednesday,Dec,2,Female,Single,43,Policy Holder,Sedan,10218,16,400,4,7 years,36 to 40,No,No,no change,1,Collision,39088,4,0
Dec,1,Monday,Honda,Urban,Wednesday,Dec,5,Male,Single,28,Third Party,Sedan,10219,3,400,3,6 years,31 to 35,No,No,no change,1,Collision,26327,1,0
